survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,age_group,age_standardized,fare_standardized
0,1,male,28.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,Adult,-0.10128291979289036,-0.088050314347861
1,3,male,28.0,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,Adult,-0.10128291979289036,-0.3390689554550761
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,Adult,-0.024270581385404916,-0.4345626842700357
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,Adult,-0.7943939654602593,-0.48168175055306295
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,Teenager,-0.9484186422752302,-0.48637615127212613
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,Adult,-0.25530759660786123,-0.47153637188803227
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,Adult,0.2067664338370514,-0.4345626842700357
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,Teenager,-1.0254309806827158,0.29786846092456376
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,Adult,-0.6403692886452884,0.8331066054898479
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,Adult,-0.25530759660786123,-0.3549973206895828
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,Adult,0.2067664338370514,0.4909526033162764
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,Adult,-0.3323199350153467,-0.49190962833060187
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.48696370592706245
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.4838609344273645
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,Child,-2.19370815432427,-0.06231059124530793
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,Adult,0.052741757022080525,-0.3948222581228012
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,Adult,-0.563356950237803,-0.4647452864071758
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,Adult,-0.024270581385404916,-0.45468441902812906
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,Adult,-0.10128291979289036,-0.489142889801364
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,Adult,-0.10128291979289036,0.3018928078761825
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,Teenager,-0.9484186422752302,-0.4345626842700357
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,Adult,0.28377877224453685,-0.326911403314236
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,Teenager,-1.0254309806827158,0.045843733079444046
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.4838609344273645
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,Adult,-0.4863446118303176,4.646175342148545
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.4093322734228321,-0.4838609344273645
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.024270581385404916,-0.4838609344273645
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,Adult,-0.7173816270527739,-0.4878007700929992
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,Adult,1.2849391715418477,0.5851062245963469
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,Adult,-0.25530759660786123,-0.23183620658224477
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,Adult,2.2860995708391583,-0.4999583222338392
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.4838609344273645
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,Senior,3.210247631728984,0.05146172142390378
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,Adult,-0.4863446118303176,0.6290380080936923
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,Adult,0.3607911106520223,-0.1830409997938683
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,Adult,0.3607911106520223,-0.12267579551958811
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,Adult,-0.10128291979289036,-0.48696370592706245
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.48696370592706245
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,Adult,-0.6403692886452884,0.9093176758861266
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,Adult,0.28377877224453685,-0.4717033822865245
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,Adult,0.5918281258744786,-0.48637615127212613
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.48696370592706245
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,Adult,-0.6403692886452884,-0.49190962833060187
1,3,male,28.0,0,0,7.775,S,Third,man,True,Southampton,yes,True,Adult,-0.10128291979289036,-0.4893944114858402
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,0.6688404642819641,-0.48696370592706245
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,Adult,-0.10128291979289036,-0.1599010048220609
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,Adult,1.3619515099493331,0.40048930819084005
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,Teenager,-1.1409494882939437,-0.3549973206895828
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.563356950237803,-0.4838609344273645
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,Adult,-0.7173816270527739,-0.44814485523174874
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,Teenager,-0.9484186422752302,-0.3549148215770746
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,Adult,-0.6403692886452884,-0.48637615127212613
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,Senior,3.171741462525241,-0.4898974548547925
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,Adult,-0.024270581385404916,-0.22328446931005508
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,Adult,-0.4093322734228321,4.334706985481066
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,Child,-2.103603718387512,-0.016533644670645498
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,Adult,-0.6403692886452884,0.8331066054898479
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.4838609344273645
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,Adult,0.24527260304079412,-0.04076423766634156
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,Adult,0.24527260304079412,-0.3842583473748022
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,Adult,1.901037878801731,0.9093176758861266
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,Teenager,-1.3334803343126573,-0.4196383935999578
0,3,male,28.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,Adult,-0.10128291979289036,-0.4898974548547925
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,Adult,-0.4093322734228321,-0.5021375061081407
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,Adult,-0.10128291979289036,-0.1959531169881368
0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,Adult,1.2079268331343622,-0.5054917992923148
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,Adult,0.28377877224453685,-0.48696370592706245
0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,Adult,-0.7173816270527739,-0.5039826691854579
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,Adult,1.3619515099493331,-0.3540757452376621
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,Adult,-0.024270581385404916,-0.12267579551958811
0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,-0.3323199350153467,-0.3842583473748022
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,Adult,-0.4863446118303176,-0.3430933024066947
1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,Adult,-0.7943939654602593,-0.11697530806262024
0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,Adult,0.5918281258744786,0.4226232164247428
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,Teenager,-1.0254309806827158,-0.46038490648509695
0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,Adult,-0.4093322734228321,0.9478004936109804
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,Adult,-0.10128291979289036,-0.3390689554550761
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,Adult,-0.563356950237803,-0.4898974548547925
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,Adult,-0.4093322734228321,-0.326911403314236
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,Adult,-0.7943939654602593,-0.510019189612886
0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,Adult,-0.8714063038677448,-0.41444094951194227
0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,Adult,-0.7943939654602593,0.09363285312991586
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,Adult,-0.1782952582003758,-0.48897587940287185
0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,Child,-1.5645173495351137,0.045843733079444046
0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,Adult,0.5533219566707359,-0.12267579551958811
0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,0.9768898179119059,-0.3842583473748022
0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,Adult,1.670000863579275,-0.3938161713848966
1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False,Adult,-0.563356950237803,0.6942666356590035
0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,2.0165563864129594,-0.4838609344273645
0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,Adult,0.8613713103006777,-0.3540757452376621
0,3,male,28.0,0,0,7.3125,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.49870071381145836
0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,Adult,1.670000863579275,0.5892150828339495
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,Teenager,-1.0254309806827158,-0.49023348782525267
0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,0.052741757022080525,-0.4838609344273645
0,3,male,28.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.47153637188803227
0,3,male,28.0,8,2,69.55,S,Third,man,True,Southampton,no,False,Adult,-0.10128291979289036,0.7536257531953791
0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,Adult,1.1309144947268768,-0.32188096962471263
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,Adult,0.822865141096935,-0.32892357679004536
0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,Adult,-0.25530759660786123,-0.4893944114858402
0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,Teenager,-0.9484186422752302,-0.47153637188803227
0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,Child,-2.1806160567949973,0.15274044898181519
1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,Child,-1.5645173495351137,-0.23284229332014947
1,1,female,28.0,0,1,55.0,S,First,woman,False,Southampton,yes,False,Adult,-0.10128291979289036,0.46085451246512027
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,Adult,1.2079268331343622,-0.08444449947921069
0,1,male,28.0,0,0,25.925,S,First,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.1241849256264451
0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,0.4909526033162764
0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,Senior,2.440124247654129,0.02823721516611233
0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,Child,-1.949579041572541,-0.05979537440054626
1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,Child,-2.1806160567949973,-0.4218195896477352
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,Adult,-0.6403692886452884,-0.48637615127212613
0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,Adult,2.055062555616702,-0.02818815344253319
0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,Adult,-0.8714063038677448,-0.4878007700929992
0,3,male,28.0,3,1,25.4667,S,Third,man,True,Southampton,no,False,Adult,-0.10128291979289036,-0.13340671666607934
0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,Adult,1.5929885251717895,-0.06809558998825982
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,0.052741757022080525,-0.3842583473748022
0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,Adult,0.5148157874669932,-0.6458408992300163
0,3,female,28.0,8,2,69.55,S,Third,woman,False,Southampton,no,False,Adult,-0.10128291979289036,0.7536257531953791
0,2,male,28.0,0,0,15.05,C,Second,man,True,Cherbourg,no,True,Adult,-0.10128291979289036,-0.34300879112071075
0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,Child,-1.5645173495351137,-0.014269949510359977
1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,Child,-2.1806160567949973,0.138906756335626
1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,Child,-1.949579041572541,-0.20265969118300936
0,1,male,28.0,0,0,50.0,S,First,man,True,Southampton,no,True,Adult,-0.10128291979289036,0.3602458386746533
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,Adult,-0.10128291979289036,-0.33395401047956874
1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,Adult,1.2079268331343622,-0.11160884140263673
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,Adult,0.822865141096935,-0.33395401047956874
0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,0.5148157874669932,-0.48696370592706245
1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,Adult,0.2067664338370514,-0.3842583473748022
0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,-0.7943939654602593,-0.3842583473748022
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,Adult,-0.7943939654602593,-0.4878007700929992
1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,Child,-2.0265913799800264,-0.12267579551958811
1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,Adult,1.1309144947268768,-0.088050314347861
1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True,Adult,2.209087232431673,2.302411774913634
0,3,male,28.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,Adult,-0.10128291979289036,-0.4898974548547925
0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,Adult,0.9768898179119059,-0.4767338159760478
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Adult,-0.10128291979289036,-0.4898974548547925
0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,Adult,-0.4093322734228321,-0.3842583473748022
0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.45468441902812906
0,3,male,28.0,8,2,69.55,S,Third,man,True,Southampton,no,False,Adult,-0.10128291979289036,0.7536257531953791
0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,Adult,0.3607911106520223,-0.5151341345883933
0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,Adult,1.246433002338105,-0.5004613656027915
1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,Adult,-0.8714063038677448,-0.4838609344273645
0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,Child,-2.103603718387512,-0.4353172493234642
0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,Adult,0.2067664338370514,-0.326911403314236
1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,Adult,-0.25530759660786123,-0.2678038074623367
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Teenager,-1.0254309806827158,-0.4898974548547925
1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,Adult,0.822865141096935,-0.02206712172912115
0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,Adult,-0.4093322734228321,-0.5039826691854579
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,Adult,0.43780344905950774,-0.22328446931005508
0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,Adult,-0.563356950237803,-0.4999583222338392
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,0.052741757022080525,-0.3842583473748022
0,3,male,28.0,1,0,7.75,Q,Third,man,True,Queenstown,no,False,Adult,-0.10128291979289036,-0.4898974548547925
1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False,Adult,0.12975409542956598,1.6334486054930126
1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,Adult,-0.1782952582003758,-0.48637615127212613
0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,Adult,0.9768898179119059,-0.10255406076149472
1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True,Adult,0.2067664338370514,0.8892804524140174
0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,Adult,0.052741757022080525,-0.4345626842700357
1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,Teenager,-1.0254309806827158,-0.4838609344273645
0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,-0.1782952582003758,-0.3842583473748022
0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,1.670000863579275,-0.4838609344273645
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.48696370592706245
1,1,male,38.0,1,0,90.0,S,First,man,True,Southampton,yes,False,Adult,0.6688404642819641,1.165115228998389
0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True,Adult,-0.563356950237803,-0.45770267924184305
1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,Adult,-0.7943939654602593,-0.4345626842700357
0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True,Adult,-0.6788754578490311,-0.4999583222338392
0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True,Adult,-0.8714063038677448,-0.3842583473748022
0,3,female,28.0,3,1,25.4667,S,Third,woman,False,Southampton,no,False,Adult,-0.10128291979289036,-0.13340671666607934
